--- my_trans.txt	2022-07-21 01:45:34.299445441 -0400
+++ ref_trans.txt	2022-07-21 01:45:20.255378778 -0400
@@ -1,219 +1,219 @@
-S 00600aa0,1 miss
-S 7ff000398,8 miss eviction
-S 7ff000390,8 miss eviction
-S 7ff000378,8 miss eviction
-S 7ff000370,8 miss eviction
-S 7ff000384,4 miss eviction
-L 7ff000384,4 hit
-S 7ff000388,4 miss eviction
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a208,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a60c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a248,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a70c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a288,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a80c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a2c8,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a90c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-M 7ff000384,4 miss eviction hit
-L 7ff000384,4 hit
-S 7ff000388,4 miss eviction
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a308,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a64c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a348,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
-L 7ff00038c,4 miss eviction
-S 00600a74c,4 miss eviction
-M 7ff000388,4 miss eviction hit
-L 7ff000388,4 hit
-L 7ff000384,4 miss eviction
-L 7ff000378,8 miss eviction
-L 7ff000388,4 miss eviction
-L 00600a388,4 miss eviction
-S 7ff00038c,4 miss eviction
-L 7ff000388,4 miss eviction
-L 7ff000370,8 miss eviction
-L 7ff000384,4 miss eviction
